"country","year","Title","Genre"
"Argentina",2008,"Los Simuladores","Comedy"
"Argentina",2015,"Merlí","Comedy, Drama, Romance"
"Argentina, Australia, Japan, United States, Brazil, Mexico, Colombia",2017,"It Comes at Night","Horror, Mystery, Sci-Fi"
"Argentina, Australia, United States, Brazil, Mexico, Colombia",2016,"3 Generations","Drama"
"Argentina, Brazil, Australia, Sweden, Switzerland, Belgium, France, Netherlands, Spain, Germany, Iceland, Portugal, Lithuania, Slovakia, Czech Republic, Romania, Poland, Russia, Greece, India, South Africa, Singapore, Israel, Hong Kong, United States, Canada, Mexico, South Korea, United Kingdom, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2015,"The Fear of 13","Biography, Crime, Documentary, Mystery"
"Argentina, Brazil, Australia, Sweden, Switzerland, Belgium, France, Netherlands, Spain, Germany, Iceland, Portugal, Slovakia, Lithuania, Czech Republic, Romania, Russia, India, Poland, Greece, South Africa, Singapore, Israel, United Kingdom, United States, Mexico, Canada, South Korea, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2015,"Suicide (Hitabdut)","Action, Crime, Thriller"
"Argentina, Brazil, Australia, Switzerland, Sweden, Belgium, France, Spain, Germany, Iceland, India, Portugal, Lithuania, Russia, Czech Republic, Slovakia, Hungary, South Africa, Romania, Poland, Israel, Singapore, Hong Kong, United States, Mexico, South Korea, Canada, Japan, Italy, Thailand, United Kingdom, Netherlands, Turkey, Colombia",2015,"Mariah Careys Merriest Christmas","Music"
"Argentina, Brazil, Canada, Mexico, United States, Belgium, Hungary, Hong Kong, South Korea, Israel, Poland, Romania, Greece, South Africa, Portugal, Germany, France, Iceland, India, Spain, Sweden, Netherlands, Switzerland, Australia, United Kingdom, Czech Republic, Russia, Lithuania, Singapore, Slovakia, Japan, Italy, Thailand, Turkey, Malaysia, Colombia",2017,"Abstract: The Art of Design","Documentary"
"Argentina, Brazil, Colombia",2016,"Last Days in the Desert","Adventure, Drama"
"Argentina, Brazil, Mexico, Canada, United States, Belgium, Hong Kong, Israel, Poland, Romania, Greece, South Africa, Portugal, Germany, France, Iceland, India, Spain, Sweden, Netherlands, Switzerland, Australia, United Kingdom, Czech Republic, Russia, Lithuania, Singapore, Slovakia, Japan, South Korea, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Cyborg 009: Call of Justice","Action, Animation, Sci-Fi"
"Argentina, Brazil, Mexico, Colombia",2017,"Planetarium","Drama, Fantasy, Mystery, Romance, Thriller"
"Argentina, Brazil, Mexico, Colombia",2018,"Malacopa","Comedy"
"Argentina, Brazil, Mexico, Colombia",2019,"Saving Zoë","Crime, Drama, Mystery"
"Argentina, Brazil, Romania, Iceland, Spain, United Kingdom, Canada, Israel, Thailand, Slovakia, United States, Italy, South Africa, Switzerland, Czech Republic, Greece, Australia, Japan, France, Netherlands, Hong Kong, South Korea, Sweden, Poland, Russia, Singapore, Portugal, Germany, Lithuania, India, Belgium, Mexico, Hungary, Turkey, Malaysia, Colombia",2019,"The Mind, Explained","Documentary"
"Argentina, Brazil, Slovakia, Spain, United Kingdom, Romania, Israel, Canada, Iceland, Hong Kong, Belgium, United States, South Africa, Switzerland, Greece, Czech Republic, Mexico, Australia, Japan, South Korea, France, Russia, Poland, Netherlands, Singapore, Sweden, India, Germany, Portugal, Lithuania, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2019,"The Perfection","Drama, Horror, Music, Thriller"
"Argentina, Brazil, Sweden, Switzerland, Belgium, France, Netherlands, Spain, Germany, Iceland, Portugal, Slovakia, Lithuania, Czech Republic, Romania, Russia, India, Poland, Greece, South Africa, Singapore, Israel, United Kingdom, United States, Australia, Canada, Mexico, South Korea, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2015,"Road to Yesterday","Drama, Romance, Thriller"
"Argentina, Brazil, Sweden, Switzerland, Belgium, Netherlands, Spain, France, Germany, Iceland, Portugal, Slovakia, Lithuania, Czech Republic, Romania, Russia, India, Poland, Greece, South Africa, Singapore, Israel, United Kingdom, United States, Australia, Canada, Mexico, South Korea, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"You Carry Me","Action, Drama"
"Argentina, Brazil, United Kingdom, Australia, Sweden, Switzerland, Belgium, France, Netherlands, Spain, Germany, Iceland, Portugal, Lithuania, Slovakia, Hungary, Czech Republic, Romania, Poland, Russia, Greece, India, South Africa, Singapore, United States, Canada, Mexico, South Korea, Hong Kong, Japan, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2016,"Attacking the Devil: Harold Evans and the Last Nazi War Crime","Documentary"
"Argentina, Brazil, United Kingdom, Australia, Sweden, Switzerland, France, Belgium, Netherlands, Spain, Germany, Iceland, Portugal, Lithuania, Slovakia, Hungary, Czech Republic, Romania, Poland, Russia, Greece, India, South Africa, Singapore, United States, Canada, Mexico, South Korea, Hong Kong, Japan, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2015,"Black Man White Skin","Documentary"
"Argentina, Brazil, United Kingdom, Australia, Switzerland, Sweden, Netherlands, Belgium, France, India, Iceland, Germany, Portugal, Lithuania, Russia, South Africa, Slovakia, Czech Republic, Hungary, Greece, Romania, Poland, Singapore, United States, Canada, Mexico, South Korea, Spain, Hong Kong, Japan, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2016,"Heroes Wanted","Action, Adventure, Comedy"
"Argentina, Brazil, United Kingdom, Australia, Switzerland, Sweden, Netherlands, Belgium, France, Spain, Germany, India, Iceland, Portugal, Lithuania, Russia, Slovakia, Czech Republic, Hungary, South Africa, Greece, Romania, Poland, Singapore, United States, Canada, South Korea, Hong Kong, Japan, Israel, Italy, Thailand, Mexico, Turkey, Malaysia, Colombia",2019,"Autohead","Crime, Drama"
"Argentina, Brazil, United Kingdom, Australia, Switzerland, Sweden, Netherlands, Belgium, Spain, France, India, Iceland, Germany, Portugal, Russia, Lithuania, South Africa, Slovakia, Czech Republic, Greece, Poland, Romania, Singapore, Israel, South Korea, United States, Canada, Mexico, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Very Big Shot","Action, Crime, Drama, Thriller"
"Argentina, Brazil, United Kingdom, France, Australia, Belgium, Canada, Netherlands, Sweden, Switzerland, United States, Spain, Portugal, Mexico, India, Russia, Greece, South Korea, Slovakia, Poland, Czech Republic, Lithuania, Israel, Iceland, Hungary, Romania, South Africa, Germany, Japan, Italy, Thailand, Turkey, Hong Kong, Singapore",2015,"Sense8: Creating the World","Documentary, Sci-Fi"
"Argentina, Canada, United States, Brazil, Mexico, Colombia",2017,"Pup Star: Better 2Gether","Family"
"Argentina, Colombia",2016,"Dark Net","Documentary"
"Argentina, Colombia",2017,"Km 31-2","Horror"
"Argentina, Czech Republic, Belgium, Slovakia, Hungary, Brazil, Netherlands, Mexico, Colombia, Romania",2015,"We Are Your Friends","Drama, Music, Romance"
"Argentina, France, Germany, Switzerland, United States, Brazil, Mexico, Colombia",2019,"Arctic Dogs","Adventure, Animation, Comedy, Family"
"Argentina, Germany, Singapore, Russia, Czech Republic, France, Poland, India, Sweden, Netherlands, Hungary, Slovakia, Israel, Lithuania, Brazil, Spain, United Kingdom, Canada, Hong Kong, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Australia, Turkey, United States",2018,"Dany Boon: Des Hauts De France","Comedy"
"Argentina, Hong Kong, Belgium, Singapore, Russia, Poland, Greece, Slovakia, Turkey, Czech Republic, Hungary, Brazil, Italy, India, Mexico, Colombia, Romania",2008,"Indiana Jones and the Kingdom of the Crystal Skull","Action, Adventure"
"Argentina, Hungary, Romania, Czech Republic, United States, Canada, Slovakia, Brazil, Netherlands, Italy, Mexico, Colombia",2010,"The Free State of Jones","Action, Drama, History, Short"
"Argentina, Iceland, Portugal, Greece, Romania, South Korea, Switzerland, Belgium, Slovakia, Sweden, Hungary, Lithuania, India, Spain, Hong Kong, Germany, Czech Republic, France, Russia, Poland, Japan, Mexico, Canada, South Africa, Turkey, United Kingdom, United States, Brazil, Netherlands, Israel, Italy, Thailand, Colombia",2014,"May We Chat","Drama"
"Argentina, Iceland, Portugal, Slovakia, Hungary, Lithuania, Czech Republic, United Kingdom, Canada, Australia, Romania, Russia, Greece, Poland, South Africa, Singapore, United States, Germany, France, Spain, Switzerland, Belgium, South Korea, Hong Kong, Japan, Thailand, Sweden, Mexico, Turkey, India, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2016,"Kuromukuro","Action, Animation, Sci-Fi"
"Argentina, Iceland, United Kingdom, Spain, Mexico, Portugal, Thailand, Canada, Switzerland, Romania, United States, Italy, Israel, South Africa, Czech Republic, Australia, Hungary, Japan, Singapore, South Korea, Russia, France, Poland, Hong Kong, Netherlands, Sweden, India, Greece, Slovakia, Germany, Lithuania, Brazil, Belgium, Turkey, Malaysia, Colombia",2019,"Enter the Anime","Documentary"
"Argentina, India, Lithuania, Brazil, South Africa, Slovakia, Belgium, Spain, United Kingdom, Canada, Mexico, Switzerland, Hong Kong, Greece, United States, Romania, Japan, South Korea, France, Australia, Netherlands, Poland, Russia, Sweden, Israel, Singapore, Hungary, Germany, Czech Republic, Portugal, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2019,"Mighty Little Bheem","Animation, Comedy"
"Argentina, India, Mexico, Colombia",2018,"A Kid Like Jake","Drama"
"Argentina, India, Turkey, Lithuania, Hungary, Iceland, Slovakia, Mexico, Spain, United Kingdom, Romania, Canada, Thailand, Belgium, South Africa, Czech Republic, Switzerland, Japan, France, South Korea, Poland, Singapore, Hong Kong, Russia, Sweden, Germany, Portugal, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia, Australia",2019,"THE UNLISTED","Family, Sci-Fi, Thriller"
"Argentina, Israel, Mexico, Brazil, Lithuania, Iceland, Italy, Spain, United Kingdom, Slovakia, Turkey, South Africa, Romania, Belgium, Thailand, Canada, Greece, Switzerland, Czech Republic, United States, Australia, Singapore, Russia, South Korea, Japan, France, Hong Kong, Sweden, Netherlands, Hungary, India, Poland, Portugal, Germany, Colombia",2019,"Klaus","Adventure, Animation, Comedy, Family"
"Argentina, Israel, United Kingdom, Spain, Mexico, Canada, Iceland, United States, Portugal, South Africa, Romania, Thailand, Italy, Australia, Czech Republic, Belgium, Japan, Switzerland, France, Singapore, South Korea, Russia, Hong Kong, Netherlands, Poland, Sweden, India, Greece, Slovakia, Germany, Lithuania, Brazil, Hungary, Turkey, Malaysia, Colombia",2019,"The Forest of Love","Crime, Drama, Horror, Thriller"
"Argentina, Italy, Spain, Mexico, Iceland, United Kingdom, South Africa, Canada, Romania, Thailand, Belgium, United States, Greece, Czech Republic, Switzerland, Israel, Australia, Japan, Russia, Hong Kong, France, Singapore, South Korea, India, Netherlands, Sweden, Hungary, Poland, Portugal, Slovakia, Germany, Brazil, Lithuania, Turkey, Malaysia, Colombia",2019,"Earthquake Bird","Crime, Drama, Mystery, Romance, Thriller"
"Argentina, Japan, Sweden, Spain, Portugal, United States, Brazil, Italy, Turkey, Canada, South Africa, Mexico, Colombia",2019,"Lets Dance","Comedy, Drama, Family, Music"
"Argentina, Japan, United States, Canada, Brazil, Mexico, Colombia",2012,"Magi: The Labyrinth of Magic","Action, Adventure, Animation, Comedy, Fantasy"
"Argentina, Lithuania, Canada, United Kingdom, Russia, India, Hungary, Singapore, Romania, Mexico, South Africa, Thailand, Australia, Spain, Portugal, Czech Republic, United States",2018,"Agustín Aristarán: Soy Rada","Comedy"
